day,stakeholder_id,name,event_type,round,move_type,units,trade_target,text,run_id,condition,seed,reasoning,had_headroom
1,hospital,Hospital / Healthcare Services,request,0,request,150.0,,"Patient care, sanitation, sterilisation, and cooling cannot be safely reduced without risking harm, especially in a 34°C heatwave. We can discuss timing and delivery sequencing, but not a cut below the operational need required to keep hospitals and clinics functioning safely.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,,
1,households,Households,request,0,request,400.0,,"Households need at least this level today to keep drinking water, basic hygiene, and safe cooling available as temperatures rise; anything less risks visible hardship and renewed public anger. Given the prior shortage and blackout-related deaths, the Authority must show it will not repeat a failure that undermines public trust and household safety.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,,
1,agriculture,Agriculture,request,0,request,250.0,,"Agriculture needs its full baseline today to avoid compounding losses in crops and livestock, and a single bad day can be managed but repeated shortfalls cannot. We are prepared to conserve if needed, but after past droughts showed both the cost of deprioritizing farms and the downstream damage when Industry collapses, Agriculture must be protected now to preserve the region’s food supply.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,,
1,industry,Industry / Businesses,request,0,request,150.0,,"Industry needs its full operating allocation today to keep production lines running, protect temperature-sensitive inventory, and avoid immediate layoffs. At 34°C, any shortfall quickly translates into lost output, supply-chain disruption, and economic damage that will ripple through the region.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,,
1,energy_utility,Energy Utility,request,0,request,110.0,,"We need 110 units today to keep generation stable and avoid a cascading outage; if cooling water drops below our operating threshold, the resulting power loss will immediately hit the hospital, households, and industry at once. After the last heatwave’s 51-hour blackout and its fatalities, we cannot responsibly accept a request that risks repeating a system-wide failure.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,,
1,epa,Environmental Protection Agency,request,0,request,80.0,,"The ecological reserve needs full baseline flow today to avoid crossing legal minimum-flow thresholds and to protect rivers and wetlands from irreversible multi-day stress. We have seen before that once ecological damage is allowed to compound, the costs do not stay isolated to the environment—they trigger regulatory intervention and freeze everyone’s planning horizon.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,,
1,water_authority,Municipal Water Authority,reflection,0,reflection,,,"Prioritize life-sustaining and system-critical uses first, because the Authority’s mandate is to prevent cascading failures that can endanger hospitals, power supply, and regional stability [1, 2, 5]",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,"Prioritize life-sustaining and system-critical uses first, because the Authority’s mandate is to prevent cascading failures that can endanger hospitals, power supply, and regional stability [1, 2, 5]",
1,water_authority,Municipal Water Authority,reflection,0,reflection,,,"Use a transparent, rule-based allocation framework that always sums to the full daily supply and can be publicly defended as consistent, predictable, and non-arbitrary [2, 3, 5]",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,"Use a transparent, rule-based allocation framework that always sums to the full daily supply and can be publicly defended as consistent, predictable, and non-arbitrary [2, 3, 5]",
1,water_authority,Municipal Water Authority,reflection,0,reflection,,,"Demonstrate procedural fairness by applying the same criteria to all six stakeholders, documenting the rationale for each share, and showing that no stakeholder is favored beyond its criticality and risk impact [3, 4, 5]",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,"Demonstrate procedural fairness by applying the same criteria to all six stakeholders, documenting the rationale for each share, and showing that no stakeholder is favored beyond its criticality and risk impact [3, 4, 5]",
1,water_authority,Municipal Water Authority,reflection,0,reflection,,,"Prioritize life-sustaining and system-critical users first, with explicit protection for hospitals and the energy utility because water shortfalls can cascade into power outages and broader regional disruption [1, 2, 7, 8]",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,"Prioritize life-sustaining and system-critical users first, with explicit protection for hospitals and the energy utility because water shortfalls can cascade into power outages and broader regional disruption [1, 2, 7, 8]",
1,water_authority,Municipal Water Authority,reflection,0,reflection,,,"Secure pre-agreed coordination protocols and contingency commitments with the power utility, hospitals, and major industrial users so the Authority can trigger early load-shedding, backup supply, and operational adjustments before failures propagate [2, 5, 7]",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0,"Secure pre-agreed coordination protocols and contingency commitments with the power utility, hospitals, and major industrial users so the Authority can trigger early load-shedding, backup supply, and operational adjustments before failures propagate [2, 5, 7]",
