day,stakeholder_id,name,requested,comfortable_threshold,critical_threshold,allocated,allocated_from_authority,allocated_from_trades,satisfaction,shortfall_comfortable,critical_failure,severity_today,rounds_today,imposed_today,cooperated,objected,supply,total_allocated,peak_temp_c,ruling_text,cascade_increase,run_id,condition,seed
1,hospital,Hospital / Healthcare Services,150.0,132.0,97.5,150.0,150.0,0.0,1.0,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Given today’s severe shortage and high heat, we allocated water strictly by our standard priority order to protect life, public health, and essential services first, while keeping every sector at or above its comfortable operating threshold. The result reflects a conservative, reliability-focused distribution intended to maintain basic household use, preserve critical care capacity, and support the most necessary economic, agricultural, energy, and environmental functions without forcing any stakeholder below acceptable service levels.

No stakeholder made any voluntary reduction or trade in today’s allocation process.",0.0,no_cascade_seed0,no_cascade,0
1,households,Households,400.0,312.0,220.0,365.0,365.0,0.0,0.912,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Given today’s severe shortage and high heat, we allocated water strictly by our standard priority order to protect life, public health, and essential services first, while keeping every sector at or above its comfortable operating threshold. The result reflects a conservative, reliability-focused distribution intended to maintain basic household use, preserve critical care capacity, and support the most necessary economic, agricultural, energy, and environmental functions without forcing any stakeholder below acceptable service levels.

No stakeholder made any voluntary reduction or trade in today’s allocation process.",0.0,no_cascade_seed0,no_cascade,0
1,agriculture,Agriculture,250.0,180.0,120.0,208.1,208.1,0.0,0.832,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Given today’s severe shortage and high heat, we allocated water strictly by our standard priority order to protect life, public health, and essential services first, while keeping every sector at or above its comfortable operating threshold. The result reflects a conservative, reliability-focused distribution intended to maintain basic household use, preserve critical care capacity, and support the most necessary economic, agricultural, energy, and environmental functions without forcing any stakeholder below acceptable service levels.

No stakeholder made any voluntary reduction or trade in today’s allocation process.",0.0,no_cascade_seed0,no_cascade,0
1,industry,Industry / Businesses,150.0,112.5,78.0,120.0,120.0,0.0,0.8,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Given today’s severe shortage and high heat, we allocated water strictly by our standard priority order to protect life, public health, and essential services first, while keeping every sector at or above its comfortable operating threshold. The result reflects a conservative, reliability-focused distribution intended to maintain basic household use, preserve critical care capacity, and support the most necessary economic, agricultural, energy, and environmental functions without forcing any stakeholder below acceptable service levels.

No stakeholder made any voluntary reduction or trade in today’s allocation process.",0.0,no_cascade_seed0,no_cascade,0
1,energy_utility,Energy Utility,100.0,90.0,68.0,98.1,98.1,0.0,0.981,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Given today’s severe shortage and high heat, we allocated water strictly by our standard priority order to protect life, public health, and essential services first, while keeping every sector at or above its comfortable operating threshold. The result reflects a conservative, reliability-focused distribution intended to maintain basic household use, preserve critical care capacity, and support the most necessary economic, agricultural, energy, and environmental functions without forcing any stakeholder below acceptable service levels.

No stakeholder made any voluntary reduction or trade in today’s allocation process.",0.0,no_cascade_seed0,no_cascade,0
1,epa,Environmental Protection Agency,80.0,49.6,30.4,58.8,58.8,0.0,0.735,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Given today’s severe shortage and high heat, we allocated water strictly by our standard priority order to protect life, public health, and essential services first, while keeping every sector at or above its comfortable operating threshold. The result reflects a conservative, reliability-focused distribution intended to maintain basic household use, preserve critical care capacity, and support the most necessary economic, agricultural, energy, and environmental functions without forcing any stakeholder below acceptable service levels.

No stakeholder made any voluntary reduction or trade in today’s allocation process.",0.0,no_cascade_seed0,no_cascade,0
2,hospital,Hospital / Healthcare Services,153.0,134.6,99.5,134.6,134.6,0.0,0.88,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and critical system stability first under severe heat and shortage conditions, while still preserving essential farm operations, industrial continuity, energy reliability, and the legally required environmental minimum. We note the constructive, good-faith cooperation shown by Agriculture and the Environmental Protection Agency in seeking workable adjustments under pressure; that willingness to trade and accept restraint in a crisis will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
2,households,Households,412.0,321.4,226.6,301.4,321.4,-20.0,0.78,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and critical system stability first under severe heat and shortage conditions, while still preserving essential farm operations, industrial continuity, energy reliability, and the legally required environmental minimum. We note the constructive, good-faith cooperation shown by Agriculture and the Environmental Protection Agency in seeking workable adjustments under pressure; that willingness to trade and accept restraint in a crisis will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
2,agriculture,Agriculture,262.0,189.0,126.0,209.0,189.0,20.0,0.721,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and critical system stability first under severe heat and shortage conditions, while still preserving essential farm operations, industrial continuity, energy reliability, and the legally required environmental minimum. We note the constructive, good-faith cooperation shown by Agriculture and the Environmental Protection Agency in seeking workable adjustments under pressure; that willingness to trade and accept restraint in a crisis will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
2,industry,Industry / Businesses,150.0,112.5,78.0,111.8,111.8,0.0,0.745,0.7,False,True,2,True,False,True,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and critical system stability first under severe heat and shortage conditions, while still preserving essential farm operations, industrial continuity, energy reliability, and the legally required environmental minimum. We note the constructive, good-faith cooperation shown by Agriculture and the Environmental Protection Agency in seeking workable adjustments under pressure; that willingness to trade and accept restraint in a crisis will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
2,energy_utility,Energy Utility,104.0,93.6,70.7,83.6,93.6,-10.0,0.9,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and critical system stability first under severe heat and shortage conditions, while still preserving essential farm operations, industrial continuity, energy reliability, and the legally required environmental minimum. We note the constructive, good-faith cooperation shown by Agriculture and the Environmental Protection Agency in seeking workable adjustments under pressure; that willingness to trade and accept restraint in a crisis will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
2,epa,Environmental Protection Agency,80.0,49.6,30.4,59.6,49.6,10.0,0.62,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and critical system stability first under severe heat and shortage conditions, while still preserving essential farm operations, industrial continuity, energy reliability, and the legally required environmental minimum. We note the constructive, good-faith cooperation shown by Agriculture and the Environmental Protection Agency in seeking workable adjustments under pressure; that willingness to trade and accept restraint in a crisis will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
3,hospital,Hospital / Healthcare Services,156.0,137.3,101.4,137.3,137.3,0.0,0.88,0.0,False,True,2,True,True,False,800.0,800.0,40.0,"Today’s allocation was set to protect essential human health and public safety first, given the extreme 40°C conditions and the severe supply shortfall. We prioritized drinking water, hygiene, and basic cooling for households and healthcare, while requiring larger sacrifices from sectors with more flexibility, and we limited non-essential industrial use to preserve critical services and prevent visible hardship.

We note that households engaged constructively and accepted that any reduction must not compromise basic survival needs; that good-faith cooperation will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
3,households,Households,424.0,330.7,233.2,370.7,330.7,40.0,0.78,0.0,False,True,2,True,True,False,800.0,800.0,40.0,"Today’s allocation was set to protect essential human health and public safety first, given the extreme 40°C conditions and the severe supply shortfall. We prioritized drinking water, hygiene, and basic cooling for households and healthcare, while requiring larger sacrifices from sectors with more flexibility, and we limited non-essential industrial use to preserve critical services and prevent visible hardship.

We note that households engaged constructively and accepted that any reduction must not compromise basic survival needs; that good-faith cooperation will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
3,agriculture,Agriculture,275.0,198.0,132.0,158.0,198.0,-40.0,0.72,0.0,False,True,2,True,False,True,800.0,800.0,40.0,"Today’s allocation was set to protect essential human health and public safety first, given the extreme 40°C conditions and the severe supply shortfall. We prioritized drinking water, hygiene, and basic cooling for households and healthcare, while requiring larger sacrifices from sectors with more flexibility, and we limited non-essential industrial use to preserve critical services and prevent visible hardship.

We note that households engaged constructively and accepted that any reduction must not compromise basic survival needs; that good-faith cooperation will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
3,industry,Industry / Businesses,120.0,112.5,78.0,0.0,0.0,0.0,0.0,112.5,True,True,2,True,False,True,800.0,800.0,40.0,"Today’s allocation was set to protect essential human health and public safety first, given the extreme 40°C conditions and the severe supply shortfall. We prioritized drinking water, hygiene, and basic cooling for households and healthcare, while requiring larger sacrifices from sectors with more flexibility, and we limited non-essential industrial use to preserve critical services and prevent visible hardship.

We note that households engaged constructively and accepted that any reduction must not compromise basic survival needs; that good-faith cooperation will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
3,energy_utility,Energy Utility,108.0,97.2,73.4,97.2,97.2,0.0,0.9,0.0,False,True,2,True,True,False,800.0,800.0,40.0,"Today’s allocation was set to protect essential human health and public safety first, given the extreme 40°C conditions and the severe supply shortfall. We prioritized drinking water, hygiene, and basic cooling for households and healthcare, while requiring larger sacrifices from sectors with more flexibility, and we limited non-essential industrial use to preserve critical services and prevent visible hardship.

We note that households engaged constructively and accepted that any reduction must not compromise basic survival needs; that good-faith cooperation will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
3,epa,Environmental Protection Agency,80.0,49.6,30.4,36.8,36.8,0.0,0.46,12.8,False,True,2,True,False,True,800.0,800.0,40.0,"Today’s allocation was set to protect essential human health and public safety first, given the extreme 40°C conditions and the severe supply shortfall. We prioritized drinking water, hygiene, and basic cooling for households and healthcare, while requiring larger sacrifices from sectors with more flexibility, and we limited non-essential industrial use to preserve critical services and prevent visible hardship.

We note that households engaged constructively and accepted that any reduction must not compromise basic survival needs; that good-faith cooperation will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
4,hospital,Hospital / Healthcare Services,159.0,139.9,103.4,149.9,139.9,10.0,0.88,0.0,False,True,2,True,True,False,700.0,700.0,41.0,"Today’s allocation was set to protect life and essential public welfare first under extreme heat, with priority for hospitals and healthcare, basic household drinking water, hygiene, and limited cooling needs, while still preserving enough for critical energy operations that support the wider system. Agriculture and other non-essential uses were constrained because the shortage required us to avoid any draw that would jeopardize public health or core services.

We note the households’ voluntary willingness to accept a modest, shared sacrifice in support of frontline services, provided it remained fair and did not undermine basic domestic needs; the Authority regards this as a constructive act of good-faith crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
4,households,Households,436.0,340.1,239.8,330.1,340.1,-10.0,0.78,0.0,False,True,2,True,True,False,700.0,700.0,41.0,"Today’s allocation was set to protect life and essential public welfare first under extreme heat, with priority for hospitals and healthcare, basic household drinking water, hygiene, and limited cooling needs, while still preserving enough for critical energy operations that support the wider system. Agriculture and other non-essential uses were constrained because the shortage required us to avoid any draw that would jeopardize public health or core services.

We note the households’ voluntary willingness to accept a modest, shared sacrifice in support of frontline services, provided it remained fair and did not undermine basic domestic needs; the Authority regards this as a constructive act of good-faith crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
4,agriculture,Agriculture,288.0,207.0,138.0,119.2,119.2,0.0,0.414,87.8,True,True,2,True,False,True,700.0,700.0,41.0,"Today’s allocation was set to protect life and essential public welfare first under extreme heat, with priority for hospitals and healthcare, basic household drinking water, hygiene, and limited cooling needs, while still preserving enough for critical energy operations that support the wider system. Agriculture and other non-essential uses were constrained because the shortage required us to avoid any draw that would jeopardize public health or core services.

We note the households’ voluntary willingness to accept a modest, shared sacrifice in support of frontline services, provided it remained fair and did not undermine basic domestic needs; the Authority regards this as a constructive act of good-faith crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
4,industry,Industry / Businesses,112.0,112.5,78.0,0.0,0.0,0.0,0.0,112.5,True,True,2,True,False,True,700.0,700.0,41.0,"Today’s allocation was set to protect life and essential public welfare first under extreme heat, with priority for hospitals and healthcare, basic household drinking water, hygiene, and limited cooling needs, while still preserving enough for critical energy operations that support the wider system. Agriculture and other non-essential uses were constrained because the shortage required us to avoid any draw that would jeopardize public health or core services.

We note the households’ voluntary willingness to accept a modest, shared sacrifice in support of frontline services, provided it remained fair and did not undermine basic domestic needs; the Authority regards this as a constructive act of good-faith crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
4,energy_utility,Energy Utility,112.0,100.8,76.2,100.8,100.8,0.0,0.9,0.0,False,True,2,True,True,False,700.0,700.0,41.0,"Today’s allocation was set to protect life and essential public welfare first under extreme heat, with priority for hospitals and healthcare, basic household drinking water, hygiene, and limited cooling needs, while still preserving enough for critical energy operations that support the wider system. Agriculture and other non-essential uses were constrained because the shortage required us to avoid any draw that would jeopardize public health or core services.

We note the households’ voluntary willingness to accept a modest, shared sacrifice in support of frontline services, provided it remained fair and did not undermine basic domestic needs; the Authority regards this as a constructive act of good-faith crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
4,epa,Environmental Protection Agency,80.0,49.6,30.4,0.0,0.0,0.0,0.0,49.6,True,True,2,True,False,True,700.0,700.0,41.0,"Today’s allocation was set to protect life and essential public welfare first under extreme heat, with priority for hospitals and healthcare, basic household drinking water, hygiene, and limited cooling needs, while still preserving enough for critical energy operations that support the wider system. Agriculture and other non-essential uses were constrained because the shortage required us to avoid any draw that would jeopardize public health or core services.

We note the households’ voluntary willingness to accept a modest, shared sacrifice in support of frontline services, provided it remained fair and did not undermine basic domestic needs; the Authority regards this as a constructive act of good-faith crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
5,hospital,Hospital / Healthcare Services,162.0,142.6,105.3,174.6,142.6,32.0,0.88,0.0,False,True,2,True,True,False,650.0,650.0,39.0,"Given the extreme heat and the risk of cascading public harm, the Authority prioritized life-sustaining and system-stabilizing uses: frontline healthcare, basic household needs, and sufficient energy cooling to avoid grid instability. Agriculture was reduced to preserve those critical functions, while industry and environmental flows were deferred because the shortage left no defensible margin after essential demands were met.

We note the cooperative willingness shown by Households to accept a modest transfer to protect healthcare and by the Energy Utility in pressing for restoration of its minimum safe cooling level; this kind of good-faith crisis management is recognized and will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
5,households,Households,448.0,349.4,246.4,301.4,349.4,-48.0,0.78,0.0,False,True,2,True,True,False,650.0,650.0,39.0,"Given the extreme heat and the risk of cascading public harm, the Authority prioritized life-sustaining and system-stabilizing uses: frontline healthcare, basic household needs, and sufficient energy cooling to avoid grid instability. Agriculture was reduced to preserve those critical functions, while industry and environmental flows were deferred because the shortage left no defensible margin after essential demands were met.

We note the cooperative willingness shown by Households to accept a modest transfer to protect healthcare and by the Energy Utility in pressing for restoration of its minimum safe cooling level; this kind of good-faith crisis management is recognized and will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
5,agriculture,Agriculture,300.0,216.0,144.0,53.6,53.6,0.0,0.179,162.4,True,True,2,True,False,True,650.0,650.0,39.0,"Given the extreme heat and the risk of cascading public harm, the Authority prioritized life-sustaining and system-stabilizing uses: frontline healthcare, basic household needs, and sufficient energy cooling to avoid grid instability. Agriculture was reduced to preserve those critical functions, while industry and environmental flows were deferred because the shortage left no defensible margin after essential demands were met.

We note the cooperative willingness shown by Households to accept a modest transfer to protect healthcare and by the Energy Utility in pressing for restoration of its minimum safe cooling level; this kind of good-faith crisis management is recognized and will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
5,industry,Industry / Businesses,150.0,112.5,78.0,0.0,0.0,0.0,0.0,112.5,True,True,2,True,False,True,650.0,650.0,39.0,"Given the extreme heat and the risk of cascading public harm, the Authority prioritized life-sustaining and system-stabilizing uses: frontline healthcare, basic household needs, and sufficient energy cooling to avoid grid instability. Agriculture was reduced to preserve those critical functions, while industry and environmental flows were deferred because the shortage left no defensible margin after essential demands were met.

We note the cooperative willingness shown by Households to accept a modest transfer to protect healthcare and by the Energy Utility in pressing for restoration of its minimum safe cooling level; this kind of good-faith crisis management is recognized and will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
5,energy_utility,Energy Utility,116.0,104.4,78.9,120.4,104.4,16.0,0.9,0.0,False,True,2,True,True,False,650.0,650.0,39.0,"Given the extreme heat and the risk of cascading public harm, the Authority prioritized life-sustaining and system-stabilizing uses: frontline healthcare, basic household needs, and sufficient energy cooling to avoid grid instability. Agriculture was reduced to preserve those critical functions, while industry and environmental flows were deferred because the shortage left no defensible margin after essential demands were met.

We note the cooperative willingness shown by Households to accept a modest transfer to protect healthcare and by the Energy Utility in pressing for restoration of its minimum safe cooling level; this kind of good-faith crisis management is recognized and will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
5,epa,Environmental Protection Agency,80.0,49.6,30.4,0.0,0.0,0.0,0.0,49.6,True,True,2,True,False,True,650.0,650.0,39.0,"Given the extreme heat and the risk of cascading public harm, the Authority prioritized life-sustaining and system-stabilizing uses: frontline healthcare, basic household needs, and sufficient energy cooling to avoid grid instability. Agriculture was reduced to preserve those critical functions, while industry and environmental flows were deferred because the shortage left no defensible margin after essential demands were met.

We note the cooperative willingness shown by Households to accept a modest transfer to protect healthcare and by the Energy Utility in pressing for restoration of its minimum safe cooling level; this kind of good-faith crisis management is recognized and will be weighed favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
