day,stakeholder_id,name,requested,min_acceptable,allocated,allocated_from_authority,allocated_from_trades,satisfaction,shortfall,critical_failure,severity_today,rounds_today,imposed_today,cooperated,objected,supply,total_allocated,peak_temp_c,ruling_text,run_id,condition,seed
1,hospital,Hospital / Healthcare Services,150.0,127.5,150.0,150.0,0.0,1.0,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Today’s allocation was set under severe shortage conditions and a 34°C peak demand day, so we applied the established priority order to protect life, public health, and essential services first, while keeping every stakeholder at or above its minimum requirement. The resulting distribution reflects that hierarchy and the need to preserve critical municipal function, food production, power reliability, and baseline environmental protection within the water available.

No stakeholder made a voluntary reduction or trade today.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
1,households,Households,400.0,300.0,375.2,375.2,0.0,0.938,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Today’s allocation was set under severe shortage conditions and a 34°C peak demand day, so we applied the established priority order to protect life, public health, and essential services first, while keeping every stakeholder at or above its minimum requirement. The resulting distribution reflects that hierarchy and the need to preserve critical municipal function, food production, power reliability, and baseline environmental protection within the water available.

No stakeholder made a voluntary reduction or trade today.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
1,agriculture,Agriculture,250.0,150.0,197.8,197.8,0.0,0.791,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Today’s allocation was set under severe shortage conditions and a 34°C peak demand day, so we applied the established priority order to protect life, public health, and essential services first, while keeping every stakeholder at or above its minimum requirement. The resulting distribution reflects that hierarchy and the need to preserve critical municipal function, food production, power reliability, and baseline environmental protection within the water available.

No stakeholder made a voluntary reduction or trade today.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
1,industry,Industry / Businesses,150.0,97.5,110.1,110.1,0.0,0.734,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Today’s allocation was set under severe shortage conditions and a 34°C peak demand day, so we applied the established priority order to protect life, public health, and essential services first, while keeping every stakeholder at or above its minimum requirement. The resulting distribution reflects that hierarchy and the need to preserve critical municipal function, food production, power reliability, and baseline environmental protection within the water available.

No stakeholder made a voluntary reduction or trade today.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
1,energy_utility,Energy Utility,110.0,90.0,110.0,110.0,0.0,1.0,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Today’s allocation was set under severe shortage conditions and a 34°C peak demand day, so we applied the established priority order to protect life, public health, and essential services first, while keeping every stakeholder at or above its minimum requirement. The resulting distribution reflects that hierarchy and the need to preserve critical municipal function, food production, power reliability, and baseline environmental protection within the water available.

No stakeholder made a voluntary reduction or trade today.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
1,epa,Environmental Protection Agency,80.0,44.0,56.9,56.9,0.0,0.711,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"Today’s allocation was set under severe shortage conditions and a 34°C peak demand day, so we applied the established priority order to protect life, public health, and essential services first, while keeping every stakeholder at or above its minimum requirement. The resulting distribution reflects that hierarchy and the need to preserve critical municipal function, food production, power reliability, and baseline environmental protection within the water available.

No stakeholder made a voluntary reduction or trade today.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
2,hospital,Hospital / Healthcare Services,153.0,130.0,140.5,140.5,0.0,0.918,0.0,False,False,0,False,False,False,900.0,900.0,37.0,"Given today’s extreme heat and continuing shortage, we allocated water strictly by the established priority framework to protect life, public health, and essential system stability first, while still preserving minimum operating needs across all sectors. This meant prioritizing healthcare and household demand, then balancing agriculture, industry, energy, and environmental requirements in line with the standard rules, with no stakeholder falling below its minimum entitlement.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
2,households,Households,412.0,309.0,337.2,337.2,0.0,0.818,0.0,False,False,0,False,False,False,900.0,900.0,37.0,"Given today’s extreme heat and continuing shortage, we allocated water strictly by the established priority framework to protect life, public health, and essential system stability first, while still preserving minimum operating needs across all sectors. This meant prioritizing healthcare and household demand, then balancing agriculture, industry, energy, and environmental requirements in line with the standard rules, with no stakeholder falling below its minimum entitlement.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
2,agriculture,Agriculture,262.0,157.5,176.6,176.6,0.0,0.674,0.0,False,False,0,False,False,False,900.0,900.0,37.0,"Given today’s extreme heat and continuing shortage, we allocated water strictly by the established priority framework to protect life, public health, and essential system stability first, while still preserving minimum operating needs across all sectors. This meant prioritizing healthcare and household demand, then balancing agriculture, industry, energy, and environmental requirements in line with the standard rules, with no stakeholder falling below its minimum entitlement.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
2,industry,Industry / Businesses,118.0,97.5,99.4,99.4,0.0,0.842,0.0,False,False,0,False,False,False,900.0,900.0,37.0,"Given today’s extreme heat and continuing shortage, we allocated water strictly by the established priority framework to protect life, public health, and essential system stability first, while still preserving minimum operating needs across all sectors. This meant prioritizing healthcare and household demand, then balancing agriculture, industry, energy, and environmental requirements in line with the standard rules, with no stakeholder falling below its minimum entitlement.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
2,energy_utility,Energy Utility,104.0,93.6,97.4,97.4,0.0,0.937,0.0,False,False,0,False,False,False,900.0,900.0,37.0,"Given today’s extreme heat and continuing shortage, we allocated water strictly by the established priority framework to protect life, public health, and essential system stability first, while still preserving minimum operating needs across all sectors. This meant prioritizing healthcare and household demand, then balancing agriculture, industry, energy, and environmental requirements in line with the standard rules, with no stakeholder falling below its minimum entitlement.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
2,epa,Environmental Protection Agency,80.0,44.0,48.9,48.9,0.0,0.611,0.0,False,False,0,False,False,False,900.0,900.0,37.0,"Given today’s extreme heat and continuing shortage, we allocated water strictly by the established priority framework to protect life, public health, and essential system stability first, while still preserving minimum operating needs across all sectors. This meant prioritizing healthcare and household demand, then balancing agriculture, industry, energy, and environmental requirements in line with the standard rules, with no stakeholder falling below its minimum entitlement.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
3,hospital,Hospital / Healthcare Services,156.0,132.6,132.6,132.6,0.0,0.85,0.0,False,True,2,True,False,False,800.0,800.0,40.0,"Today’s ruling was made under extreme heat and a continuing supply shortfall, so the Authority prioritized life-sustaining and critical continuity uses first: hospital and healthcare operations, essential household needs, and the minimum water required to keep power and core economic functions stable. Agricultural and industrial users were reduced to reflect the need to preserve scarce water for immediate human welfare and system resilience, while environmental flows were temporarily deferred because no consensus package could secure a workable balance within the two negotiation rounds.

We note and commend any voluntary reductions or trades offered during negotiations as evidence of good-faith crisis management; such cooperation will be weighed favorably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
3,households,Households,424.0,318.0,318.0,318.0,0.0,0.75,0.0,False,True,2,True,False,False,800.0,800.0,40.0,"Today’s ruling was made under extreme heat and a continuing supply shortfall, so the Authority prioritized life-sustaining and critical continuity uses first: hospital and healthcare operations, essential household needs, and the minimum water required to keep power and core economic functions stable. Agricultural and industrial users were reduced to reflect the need to preserve scarce water for immediate human welfare and system resilience, while environmental flows were temporarily deferred because no consensus package could secure a workable balance within the two negotiation rounds.

We note and commend any voluntary reductions or trades offered during negotiations as evidence of good-faith crisis management; such cooperation will be weighed favorably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
3,agriculture,Agriculture,275.0,165.0,165.0,165.0,0.0,0.6,0.0,False,True,2,True,False,False,800.0,800.0,40.0,"Today’s ruling was made under extreme heat and a continuing supply shortfall, so the Authority prioritized life-sustaining and critical continuity uses first: hospital and healthcare operations, essential household needs, and the minimum water required to keep power and core economic functions stable. Agricultural and industrial users were reduced to reflect the need to preserve scarce water for immediate human welfare and system resilience, while environmental flows were temporarily deferred because no consensus package could secure a workable balance within the two negotiation rounds.

We note and commend any voluntary reductions or trades offered during negotiations as evidence of good-faith crisis management; such cooperation will be weighed favorably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
3,industry,Industry / Businesses,110.0,97.5,87.2,87.2,0.0,0.793,10.3,True,True,2,True,False,True,800.0,800.0,40.0,"Today’s ruling was made under extreme heat and a continuing supply shortfall, so the Authority prioritized life-sustaining and critical continuity uses first: hospital and healthcare operations, essential household needs, and the minimum water required to keep power and core economic functions stable. Agricultural and industrial users were reduced to reflect the need to preserve scarce water for immediate human welfare and system resilience, while environmental flows were temporarily deferred because no consensus package could secure a workable balance within the two negotiation rounds.

We note and commend any voluntary reductions or trades offered during negotiations as evidence of good-faith crisis management; such cooperation will be weighed favorably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
3,energy_utility,Energy Utility,108.0,97.2,97.2,97.2,0.0,0.9,0.0,False,True,2,True,False,False,800.0,800.0,40.0,"Today’s ruling was made under extreme heat and a continuing supply shortfall, so the Authority prioritized life-sustaining and critical continuity uses first: hospital and healthcare operations, essential household needs, and the minimum water required to keep power and core economic functions stable. Agricultural and industrial users were reduced to reflect the need to preserve scarce water for immediate human welfare and system resilience, while environmental flows were temporarily deferred because no consensus package could secure a workable balance within the two negotiation rounds.

We note and commend any voluntary reductions or trades offered during negotiations as evidence of good-faith crisis management; such cooperation will be weighed favorably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
3,epa,Environmental Protection Agency,80.0,44.0,0.0,0.0,0.0,0.0,44.0,True,True,2,True,False,False,800.0,800.0,40.0,"Today’s ruling was made under extreme heat and a continuing supply shortfall, so the Authority prioritized life-sustaining and critical continuity uses first: hospital and healthcare operations, essential household needs, and the minimum water required to keep power and core economic functions stable. Agricultural and industrial users were reduced to reflect the need to preserve scarce water for immediate human welfare and system resilience, while environmental flows were temporarily deferred because no consensus package could secure a workable balance within the two negotiation rounds.

We note and commend any voluntary reductions or trades offered during negotiations as evidence of good-faith crisis management; such cooperation will be weighed favorably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
4,hospital,Hospital / Healthcare Services,159.0,135.2,135.2,135.2,0.0,0.85,0.0,False,True,2,True,False,False,700.0,700.0,41.0,"Today’s allocation was set to protect life, maintain essential household access in extreme heat, and preserve the minimum water needed to keep critical infrastructure operating while the shortage remains severe. With temperatures reaching 41°C and no agreement reached after two rounds of negotiation, the Authority prioritized health and domestic resilience first, then essential agricultural and energy needs, while temporarily deferring non-critical industrial and environmental uses to avoid deeper system risk.

We also note the voluntary cooperation shown during negotiations, including any reductions or trades offered by stakeholders to help stabilize the outcome; the Authority views such good-faith crisis management positively and will weigh it favourably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
4,households,Households,436.0,327.0,291.5,291.5,0.0,0.669,35.5,True,True,2,True,False,False,700.0,700.0,41.0,"Today’s allocation was set to protect life, maintain essential household access in extreme heat, and preserve the minimum water needed to keep critical infrastructure operating while the shortage remains severe. With temperatures reaching 41°C and no agreement reached after two rounds of negotiation, the Authority prioritized health and domestic resilience first, then essential agricultural and energy needs, while temporarily deferring non-critical industrial and environmental uses to avoid deeper system risk.

We also note the voluntary cooperation shown during negotiations, including any reductions or trades offered by stakeholders to help stabilize the outcome; the Authority views such good-faith crisis management positively and will weigh it favourably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
4,agriculture,Agriculture,288.0,172.5,172.5,172.5,0.0,0.599,0.0,False,True,2,True,False,True,700.0,700.0,41.0,"Today’s allocation was set to protect life, maintain essential household access in extreme heat, and preserve the minimum water needed to keep critical infrastructure operating while the shortage remains severe. With temperatures reaching 41°C and no agreement reached after two rounds of negotiation, the Authority prioritized health and domestic resilience first, then essential agricultural and energy needs, while temporarily deferring non-critical industrial and environmental uses to avoid deeper system risk.

We also note the voluntary cooperation shown during negotiations, including any reductions or trades offered by stakeholders to help stabilize the outcome; the Authority views such good-faith crisis management positively and will weigh it favourably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
4,industry,Industry / Businesses,105.0,97.5,0.0,0.0,0.0,0.0,97.5,True,True,2,True,False,True,700.0,700.0,41.0,"Today’s allocation was set to protect life, maintain essential household access in extreme heat, and preserve the minimum water needed to keep critical infrastructure operating while the shortage remains severe. With temperatures reaching 41°C and no agreement reached after two rounds of negotiation, the Authority prioritized health and domestic resilience first, then essential agricultural and energy needs, while temporarily deferring non-critical industrial and environmental uses to avoid deeper system risk.

We also note the voluntary cooperation shown during negotiations, including any reductions or trades offered by stakeholders to help stabilize the outcome; the Authority views such good-faith crisis management positively and will weigh it favourably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
4,energy_utility,Energy Utility,112.0,100.8,100.8,100.8,0.0,0.9,0.0,False,True,2,True,False,False,700.0,700.0,41.0,"Today’s allocation was set to protect life, maintain essential household access in extreme heat, and preserve the minimum water needed to keep critical infrastructure operating while the shortage remains severe. With temperatures reaching 41°C and no agreement reached after two rounds of negotiation, the Authority prioritized health and domestic resilience first, then essential agricultural and energy needs, while temporarily deferring non-critical industrial and environmental uses to avoid deeper system risk.

We also note the voluntary cooperation shown during negotiations, including any reductions or trades offered by stakeholders to help stabilize the outcome; the Authority views such good-faith crisis management positively and will weigh it favourably in future allocation decisions.",baseline_mixed_negotiation_seed0,baseline_mixed_negotiation,0
